train,test,pearson_r,R2,best_model
apple,apple,0.5973992943763733,0.35311704874038696,XGBoost
apple,broccoli,0.4423835005636759,-17.343307421807772,Ridge
apple,leek,0.22981101274490356,-2.030998706817627,XGBoost
apple,mushroom,0.5044304827934271,-0.2565868735641008,PLS
broccoli,apple,0.2962600886821747,0.04966247081756592,XGBoost
broccoli,broccoli,0.771739380248308,0.5943192696783615,RF
broccoli,leek,-0.08573193319809319,-106.86260389022927,Ridge
broccoli,mushroom,0.02699338779068863,-0.03549188501598244,PLS
leek,apple,0.21166365300692946,-54212.8812584397,PLS
leek,broccoli,0.3575840616932194,-2100.220902220985,Ridge
leek,leek,0.7822285632008641,0.6091852418153763,Ridge
leek,mushroom,-0.40449655055999756,-0.30320990085601807,XGBoost
mushroom,apple,0.18473036132064763,-779352.6667951205,Ridge
mushroom,broccoli,0.3921782409544988,-168662.77586786897,Ridge
mushroom,leek,-0.30559486150741577,-504.9835510253906,XGBoost
mushroom,mushroom,0.8962561791709291,0.8000758677203442,Ridge
