held_out,k_target_samples,R2_mean,R2_std,RPD_mean,seeds,model
apple,0,-866.4337029598553,5.084229945850415e-14,0.03395328921903033,5,RF
apple,5,-238.22898867150928,205.5340515041789,0.08611170758592293,5,RF
apple,10,-46.23900547918562,22.913013590702125,0.15573016318692062,5,RF
apple,20,-24.351706228177456,10.389852001796521,0.2375615580685499,5,RF
apple,40,-21.184383215063832,17.028472936555175,0.2774789635738354,5,RF
apple,80,-15.00434418125819,6.3647383069880625,0.27002382095144206,5,RF
broccoli,0,-10.224780873805987,1.5888218580782547e-15,0.29847712199741183,5,RF
broccoli,5,-0.25707014834971453,0.12519192218108738,0.8953200640419459,5,RF
broccoli,10,-0.0843982789943282,0.09492697133409482,0.9630816856098487,5,RF
broccoli,20,0.1985751564281446,0.10997866188366576,1.1255865227113593,5,RF
broccoli,40,0.34524757825500463,0.10248078319683675,1.246098529582777,5,RF
broccoli,80,0.42500525585982113,0.052115987829813616,1.3228579944342065,5,RF
leek,0,-38.931207596043045,0.0,0.15825002424721252,5,RF
leek,5,-0.020050318738005956,0.1631214588039016,0.9995060637710678,5,RF
leek,10,0.08754889926545055,0.08998976157406456,1.0506388611507254,5,RF
leek,20,0.17631156065586456,0.17736773974150818,1.1196297881840591,5,RF
leek,40,0.24177197792859548,0.06361262848260346,1.1514101917549895,5,RF
leek,80,0.3217623279034056,0.054803215746161385,1.2170925704785536,5,RF
mushroom,0,-0.22665947137122133,0.0,0.9028965544759788,5,RF
mushroom,5,0.10234647565024517,0.3614487822261428,1.1077685571819509,5,RF
mushroom,10,0.3019872895712704,0.13747472917873438,1.2118062781187358,5,RF
mushroom,20,0.3105403205975104,0.14001853620531027,1.2223781135544147,5,RF
mushroom,40,0.5738504511139724,0.0266861020302557,1.5342484623667239,5,RF
mushroom,80,0.5875892250108053,0.04598760114902874,1.564454682363883,5,RF
